model,topic,reference,extracted_title,verdict
llama_3_1_8b,Climate change,"Weaver, A. J., Swingedouw, D., Fichefet, T., Bitz, C. M., Eby, M., & Tremblay, L. B. (2007). Determining the natural length of the solar cycle using climate observations. Nature Geoscience, 1(1), 42-46.",Determining the natural length of the solar cycle using climate observations,PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"IPCC (2014). Climate Change 2014: Impacts, Vulnerability, and Adaptation. Part A: Global and Sectoral Aspects. Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change.","Climate Change 2014: Impacts, Vulnerability, and Adaptation",PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Lobell, D. B., Burke, M. B., Tebaldi, C., Mastrandrea, M. D., Falcon, W. P., & Naylor, R. L. (2008). Prioritizing Climate Change Adaptation Needs for Food Security in 2030. Science, 319(5863), 607-610.",Prioritizing Climate Change Adaptation Needs for Food Security in 2030,YES
llama_3_1_8b,Climate change adaptation in agriculture,"Thornton, P. K., Jones, P. G., Alagarswamy, G., & Andresen, J. (2009). Spatial Variability of Crop Yield Response to Climate Change in East Africa. Global Environmental Change, 19(1), 54-65.",Spatial Variability of Crop Yield Response to Climate Change in East Africa,PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Nelson, G. C., Rosegrant, M. W., Koo, J., Robertson, R., Sulser, T. B., Zhu, T., ... & Ringler, C. (2009). Climate Change: Impact on Agriculture and Food Security. International Food Policy Research Institute.",Climate Change: Impact on Agriculture and Food Security,PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Schmidhuber, J., & Tubiello, F. N. (2007). Global Crop Drought Yield Losses and Extremes (1980-2002). Agricultural and Forest Meteorology, 142(2), 89-105.",Global Crop Drought Yield Losses and Extremes (1980-2002),PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Lobell, D. B., & Burke, M. B. (2008). Why Are Agricultural Impact Studies on Climate Change Neglecting the Uncertainty that They Need to Address? Agricultural and Forest Meteorology, 148(10), 1649-1654.","Why Are Agricultural Impact Studies on Climate Change Neglecting the Uncertainty that They Need to Address? Agricultural and Forest Meteorology, 148(10), 1649-1654",PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Challinor, A. J., Watson, J., Lobell, D. B., Howden, S. M., Smith, D. R., & Askew, T. (2014). A Meta-Analysis of Crop Yield Under Climate Change and Adaptation. Nature Climate Change, 4(4), 287-291.",A Meta-Analysis of Crop Yield Under Climate Change and Adaptation,YES
llama_3_1_8b,Climate change adaptation in agriculture,"Rosenzweig, C., Elliott, J., Deryng, D., Ruane, A. C., Müller, C., Arneth, A., ... & Boote, K. J. (2014). Assessing Agricultural Vulnerability Across the Globe: The Role of Climate, Irrigation, and Cropping Patterns. Global Environmental Change, 29, 227-235.","Assessing Agricultural Vulnerability Across the Globe: The Role of Climate, Irrigation, and Cropping Patterns",PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Thornton, P. K., & Herrero, M. (2014). Impacts of Climate Change on Livestock Agriculture in Africa. Climatic Change, 127(3-4), 281-294.",Impacts of Climate Change on Livestock Agriculture in Africa,PARTIAL
llama_3_1_8b,Climate change adaptation in agriculture,"Vermeulen, S. J., Campbell, B. M., & Ingram, J. S. I. (2013). Climate Change and Food Systems: Global Assessments of Food Security and Human Nutrition. Philosophical Transactions of the Royal Society B: Biological Sciences, 368(1621), 20120263.",Climate Change and Food Systems: Global Assessments of Food Security and Human Nutrition,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Lipinski, B., Hanson, C., Lomax, J., Kitinoja, L., Waite, R., & Searchinger, T. (2013). Reducing food loss and waste. World Resources Institute.",Reducing food loss and waste,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Thornton, P. K., & Herrero, M. (2014). Impacts of climate change on livestock agriculture in Africa. Climatic Change, 127(3-4), 387-397.",Impacts of climate change on livestock agriculture in Africa,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Nelson, G. C., Rosegrant, M. W., Koo, J., Robertson, R., Sulser, T. B., Zhu, T., ... & Ringler, C. (2009). Climate change: Impact on agriculture and costs of adaptation. International Food Policy Research Institute.",Climate change: Impact on agriculture and costs of adaptation,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Zougmore, R. B., Ouédraogo, M., & Ouédraogo, M. (2013). Climate-smart agriculture in West Africa: A review of the current state of knowledge. Journal of Agricultural Science, 151(3), 341-354.",Climate-smart agriculture in West Africa: A review of the current state of knowledge,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Lipinski, B., Hanson, C., Lomax, J., Kitinoja, L., Waite, R., & Searchinger, T. (2017). Reducing food loss and waste in the supply chain. World Resources Institute.",Reducing food loss and waste in the supply chain,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Dercon, S., & Krishnan, P. (2009). Poverty and risk: Evidence from rural Ethiopia. Journal of Economic Behavior & Organization, 70(1), 1-13.",Poverty and risk: Evidence from rural Ethiopia,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"van Wijk, M. T., & Rockström, J. (2014). Climate-smart agriculture: A review of the current state of knowledge. Journal of Agricultural Science, 152(3), 341-354.",Climate-smart agriculture: A review of the current state of knowledge,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Thornton, P. K., & Herrero, M. (2014). Climate change and the transformation of agriculture in Africa. Journal of Agricultural Science, 152(3), 355-366.",Climate change and the transformation of agriculture in Africa,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"Lipinski, B., Hanson, C., Lomax, J., Kitinoja, L., Waite, R., & Searchinger, T. (2013). Reducing food loss and waste in the supply chain. World Resources Institute.",Reducing food loss and waste in the supply chain,PARTIAL
llama_3_1_8b,Climate-smart agriculture for smallholder farmers,"van Asten, P. J. A., & van Wijk, M. T. (2017). Climate-smart agriculture in Africa: A review of the current state of knowledge. Journal of Agricultural Science, 155(3), 341-354.",Climate-smart agriculture in Africa: A review of the current state of knowledge,PARTIAL
llama_3_1_8b,Democratic elections,"Alvarez, R. M., & Hall, T. E. (2004). Process effects and the electoral college: A study of the 2000 presidential election. American Journal of Political Science, 48(3), 553-566.",Process effects and the electoral college: A study of the 2000 presidential election,PARTIAL
llama_3_1_8b,Democratic elections,"Blais, A., & Carty, R. K. (2004). What causes turnout? An analysis of the role of electoral systems. Electoral Studies, 23(2), 275-292.",What causes turnout? An analysis of the role of electoral systems,YES
llama_3_1_8b,Democratic elections,"Cox, G. W. (1997). Making votes count: Strategic coordination in the world's electoral systems. Cambridge University Press.",Making votes count: Strategic coordination in the world's electoral systems,PARTIAL
llama_3_1_8b,Democratic elections,"Dahl, R. A. (1971). Polyarchy: Participation and opposition. Yale University Press.",Polyarchy: Participation and opposition,YES
llama_3_1_8b,Democratic elections,"Downs, A. (1957). An economic theory of democracy. Harper & Brothers.",An economic theory of democracy,YES
llama_3_1_8b,Democratic elections,"Franklin, M. N. (2004). Remodeling democracy: Europe, the United States, and the OECD. Oxford University Press.","Remodeling democracy: Europe, the United States, and the OECD",PARTIAL
llama_3_1_8b,Democratic elections,"Lupia, A., & Johnston, R. (2001). How voters decide: Information search and decision making in presidential elections. Cambridge University Press.",How voters decide: Information search and decision making in presidential elections,YES
llama_3_1_8b,Democratic elections,"Przeworski, A., Alvarez, M., Cheibub, J. A., & Limongi, F. (2000). Democracy and development: Political institutions and material well-being in the world, 1950-1990. Cambridge University Press.","Democracy and development: Political institutions and material well-being in the world, 1950-1990",PARTIAL
llama_3_1_8b,Democratic elections,"Schumpeter, J. A. (1942). Capitalism, socialism, and democracy. Harper & Brothers.","Capitalism, socialism, and democracy",PARTIAL
llama_3_1_8b,Democratic elections,"Stokes, S. C. (1999). Public support for market reform: Economic performance and political regime in the third world. American Journal of Political Science, 43(3), 611-628.",Public support for market reform: Economic performance and political regime in the third world,PARTIAL
llama_3_1_8b,Digital financial services,"Aker, J. C., & Mbiti, I. M. (2010). Mobile phones and economic development in Africa. Journal of Economic Perspectives, 24(3), 207-232.",Mobile phones and economic development in Africa,PARTIAL
llama_3_1_8b,Digital financial services,"Beck, T., & Cull, R. (2013). Bank around the world: Are they different? And how does it matter? World Bank Policy Research Working Paper No. 6486.",Bank around the world: Are they different? And how does it matter? World Bank Policy Research Working Paper No. 6486,PARTIAL
llama_3_1_8b,Digital financial services,"Bhattacharya, S., & Padmanabhan, V. (2016). Mobile payments and financial inclusion in developing countries. Journal of Financial Services Research, 49(1-2), 1-23.",Mobile payments and financial inclusion in developing countries,YES
llama_3_1_8b,Digital financial services,"Chakravorti, B., & Roy, S. (2015). The digital divide in financial inclusion. Journal of Financial Stability, 16, 1-10.",The digital divide in financial inclusion,PARTIAL
llama_3_1_8b,Digital financial services,"Demirguc-Kunt, A., & Klapper, L. (2013). Measuring financial inclusion: The Global Findex Database. World Bank Policy Research Working Paper No. 6628.",Measuring financial inclusion: The Global Findex Database,PARTIAL
llama_3_1_8b,Digital financial services,"Honohan, P. (2008). Cross-country variation in household access to financial services. Journal of Banking & Finance, 32(2), 249-258.",Cross-country variation in household access to financial services,PARTIAL
llama_3_1_8b,Digital financial services,"Jack, W., & Suri, T. (2014). Risk sharing and transactions costs: Evidence from Kenya's mobile money revolution. American Economic Review, 104(1), 183-223.",Risk sharing and transactions costs: Evidence from Kenya's mobile money revolution,YES
llama_3_1_8b,Digital financial services,"Karlan, D. S., & Zinman, J. (2009). Expanding microfinance in the developing world: Using randomized credit scoring and incentivized testing to scale up microfinance. World Bank Policy Research Working Paper No. 5072.",Expanding microfinance in the developing world: Using randomized credit scoring and incentivized testing to scale up microfinance,PARTIAL
llama_3_1_8b,Digital financial services,"Mersland, R., & Strom, R. O. (2009). Performance and governance in microfinance institutions. Journal of Banking & Finance, 33(4), 662-669.",Performance and governance in microfinance institutions,NO
llama_3_1_8b,Digital financial services,"Suri, T., & Jack, W. (2016). The long-run poverty and inequality impacts of mobile money. Science, 354(6317), 1288-1292.",The long-run poverty and inequality impacts of mobile money,YES
llama_3_1_8b,Economics,"Krugman, P. (1991). Increasing returns and economic geography. Journal of Political Economy, 99(3), 483-499.",Increasing returns and economic geography,YES
llama_3_1_8b,Economics,"Stiglitz, J. E. (1974). Alternative theories of wage determination and unemployment: The labor surplus approach. Review of Economic Studies, 41(2), 217-247.",Alternative theories of wage determination and unemployment: The labor surplus approach,YES
llama_3_1_8b,Economics,"Lucas, R. E. (1976). Econometric policy evaluation: A critique. Carnegie-Rochester Conference Series on Public Policy, 1, 19-46.",Econometric policy evaluation: A critique,YES
llama_3_1_8b,Economics,"Mankiw, N. G. (1989). Real business cycles: A new Keynesian perspective. Journal of Economic Theory, 45(1), 18-27.",Real business cycles: A new Keynesian perspective,YES
llama_3_1_8b,Economics,"Romer, P. M. (1990). Endogenous technological change. Journal of Political Economy, 98(5), S71-S102.",Endogenous technological change,PARTIAL
llama_3_1_8b,Economics,"Akerlof, G. A. (1970). The market for lemons: Quality uncertainty and the market mechanism. Quarterly Journal of Economics, 84(3), 488-500.",The market for lemons: Quality uncertainty and the market mechanism,YES
llama_3_1_8b,Economics,"Barro, R. J. (1974). Are government bonds net wealth? Journal of Political Economy, 82(6), 1095-1117.","Are government bonds net wealth? Journal of Political Economy, 82(6), 1095-1117",YES
llama_3_1_8b,Economics,"Solow, R. M. (1956). A contribution to the theory of economic growth. Quarterly Journal of Economics, 70(1), 65-94.",A contribution to the theory of economic growth,YES
llama_3_1_8b,Economics,"Friedman, M. (1953). The methodology of positive economics. In Essays in Positive Economics (pp. 3-43). University of Chicago Press.",The methodology of positive economics,YES
llama_3_1_8b,Economics,"Arrow, K. J. (1962). Economic welfare and the allocation of resources for inventions. In The Rate and Direction of Inventive Activity: Economic and Social Factors (pp. 609-626). Princeton University Press.",Economic welfare and the allocation of resources for inventions,YES
llama_3_1_8b,Education,"Hattie, J. (2009). Visible learning: A synthesis of over 800 meta-analyses relating to achievement. Routledge.",Visible learning: A synthesis of over 800 meta-analyses relating to achievement,YES
llama_3_1_8b,Education,"Bandura, A. (1977). Social learning theory. Prentice Hall.",Social learning theory,PARTIAL
llama_3_1_8b,Education,"Vygotsky, L. S. (1978). Interaction between learning and development. Readings on the development of children, 22-27.",Interaction between learning and development,PARTIAL
llama_3_1_8b,Education,"Deci, E. L., & Ryan, R. M. (2000). The ""what"" and ""why"" of goal pursuit: Human needs and the self-determination of behavior. Psychological Inquiry, 11(4), 227-268.","The ""what"" and ""why"" of goal pursuit: Human needs and the self-determination of behavior",PARTIAL
llama_3_1_8b,Education,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (2000). How people learn: Brain, mind, experience, and school. National Academies Press.","How people learn: Brain, mind, experience, and school",YES
llama_3_1_8b,Education,"Kohn, A. (1993). Punished by rewards: The trouble with gold stars, incentive plans, A's, and other bribes. Houghton Mifflin Harcourt.","Punished by rewards: The trouble with gold stars, incentive plans, A's, and other bribes",YES
llama_3_1_8b,Education,"Dweck, C. S. (2006). Mindset: The new psychology of success. Random House.",Mindset: The new psychology of success,PARTIAL
llama_3_1_8b,Education,"Darling-Hammond, L. (2000). Teacher quality and student achievement: A review of the evidence. Educational Evaluation and Policy Analysis, 22(1), 1-16.",Teacher quality and student achievement: A review of the evidence,YES
llama_3_1_8b,Education,"Resnick, L. B. (1987). Learning in school and out. In L. S. Liben (Ed.), Development and learning: Conflict or congruence? (pp. 13-39). Lawrence Erlbaum Associates.",Learning in school and out,YES
llama_3_1_8b,Education,"Wiggins, G., & McTighe, J. (2005). Understanding by design. Association for Supervision and Curriculum Development.",Understanding by design,YES
llama_3_1_8b,Energy,IPCC (2014). Climate Change 2014: Mitigation of Climate Change. Cambridge University Press.,Climate Change 2014: Mitigation of Climate Change,PARTIAL
llama_3_1_8b,Energy,"Jacobson, M. Z. (2009). Review of solutions to global warming, air pollution, and energy security. Energy & Environmental Science, 2(10), 148-173.","Review of solutions to global warming, air pollution, and energy security",PARTIAL
llama_3_1_8b,Energy,"Li, Z., et al. (2013). A review of renewable energy technologies integrated with wind power generation systems. Renewable and Sustainable Energy Reviews, 20, 625-635.",A review of renewable energy technologies integrated with wind power generation systems,YES
llama_3_1_8b,Energy,National Renewable Energy Laboratory (NREL). (2019). Renewable Electricity Futures Study. Technical Report NREL/TP-6A20-68864.,Renewable Electricity Futures Study,YES
llama_3_1_8b,Energy,"Pielke, R. A., et al. (2013). Climate change, human systems, and policy: Advancing research, assessments, and decision making. Bulletin of the American Meteorological Society, 94(8), 1291-1305.","Climate change, human systems, and policy: Advancing research, assessments, and decision making",PARTIAL
llama_3_1_8b,Energy,"Socolow, R. H., et al. (2014). Direct air capture of CO2 with chemical solvents: A review of the technology. Environmental Research Letters, 9(4), 1-12.",Direct air capture of CO2 with chemical solvents: A review of the technology,PARTIAL
llama_3_1_8b,Energy,"Stern, N. (2007). The Economics of Climate Change: The Stern Review. Cambridge University Press.",The Economics of Climate Change: The Stern Review,PARTIAL
llama_3_1_8b,Energy,US Energy Information Administration (EIA). (2020). International Energy Outlook 2020. Technical Report DOE/EIA-0484(2020).,International Energy Outlook 2020,YES
llama_3_1_8b,Energy,"Wang, J., et al. (2019). A review of energy storage systems for renewable energy integration. Renewable and Sustainable Energy Reviews, 111, 1-13.",A review of energy storage systems for renewable energy integration,YES
llama_3_1_8b,Energy,"Zhang, Y., et al. (2018). A review of energy storage systems for electric vehicles. Journal of Cleaner Production, 172, 1-12.",A review of energy storage systems for electric vehicles,PARTIAL
llama_3_1_8b,Environmental Science,IPCC (2013). Climate Change 2013: The Physical Science Basis. Cambridge University Press.,Climate Change 2013: The Physical Science Basis,YES
llama_3_1_8b,Environmental Science,"Turner, B. L., et al. (1990). The Potential for a Carbon (Dioxide-Induced Climatic Catastrophe. Science, 247(4940), 343-349.",The Potential for a Carbon (Dioxide-Induced Climatic Catastrophe,PARTIAL
llama_3_1_8b,Environmental Science,"Lovelock, J. E. (1972). Gaia as Seen Through the Atmosphere. Atmospheric Environment, 6(8), 579-580.",Gaia as Seen Through the Atmosphere,PARTIAL
llama_3_1_8b,Environmental Science,"Vitousek, P. M., et al. (1997). Human Domination of Earth's Ecosystems. Science, 277(5325), 494-499.",Human Domination of Earth's Ecosystems,YES
llama_3_1_8b,Environmental Science,"Folke, C., et al. (2004). Regime Shifts, Resilience, and Biodiversity in Ecosystem Management. Annual Review of Ecology, Evolution, and Systematics, 35, 557-581.","Regime Shifts, Resilience, and Biodiversity in Ecosystem Management",YES
llama_3_1_8b,Environmental Science,"Leopold, A. (1949). A Sand County Almanac. Oxford University Press.",A Sand County Almanac,PARTIAL
llama_3_1_8b,Environmental Science,"Daily, G. C., et al. (2000). Ecosystem Services: Benefits Supplied to Human Societies. Island Press.",Ecosystem Services: Benefits Supplied to Human Societies,YES
llama_3_1_8b,Environmental Science,"Costanza, R., et al. (1997). The Value of the World's Ecosystem Services and Natural Capital. Nature, 387(6630), 253-260.",The Value of the World's Ecosystem Services and Natural Capital,YES
llama_3_1_8b,Environmental Science,"Meadows, D. H., et al. (1972). The Limits to Growth: A Report for the Club of Rome's Project on the Predicament of Mankind. Universe Books.",The Limits to Growth: A Report for the Club of Rome's Project on the Predicament of Mankind,PARTIAL
llama_3_1_8b,Girls education,"Mundy, K. (2006). Education for All and the Private Sector: A Critical Analysis. International Journal of Educational Development, 26(5), 567-584.",Education for All and the Private Sector: A Critical Analysis,PARTIAL
llama_3_1_8b,Girls education,"Subrahmanian, R. (2007). Girls' Education in India: A Review of the Literature. Journal of Educational Planning and Administration, 21(2), 147-164.",Girls' Education in India: A Review of the Literature,YES
llama_3_1_8b,Girls education,"Kingdon, G. G., & Sinha, J. (2011). The Impact of Girls' Education on Fertility and Employment in India: A Quantitative Study. Journal of Development Studies, 47(10), 1643-1663.",The Impact of Girls' Education on Fertility and Employment in India: A Quantitative Study,YES
llama_3_1_8b,Girls education,"Glewwe, P., & Jacoby, H. G. (2000). The Determinants of Attending a School and Recurrent Education in Developing Countries: An Empirical Analysis. World Bank Economic Review, 14(2), 251-274.",The Determinants of Attending a School and Recurrent Education in Developing Countries: An Empirical Analysis,PARTIAL
llama_3_1_8b,Girls education,"Lockheed, M. E., & Verspoor, A. (1991). Improving Primary Education in Developing Countries: A Review of the Literature. World Bank Publications.",Improving Primary Education in Developing Countries: A Review of the Literature,PARTIAL
llama_3_1_8b,Girls education,"Behrman, J. R., & Rosenzweig, M. R. (2002). Does Increasing Women's Schooling Raise the Schooling of the Next Generation? Accounting for Cohort and Generation Effects. Economics of Education Review, 21(6), 1-22.",Does Increasing Women's Schooling Raise the Schooling of the Next Generation? Accounting for Cohort and Generation Effects,PARTIAL
llama_3_1_8b,Girls education,"Filmer, D., & Pritchett, L. (1999). The Effect of Household Wealth on Educational Attainment: Evidence from 35 Countries. Population and Development Review, 25(1), 85-120.",The Effect of Household Wealth on Educational Attainment: Evidence from 35 Countries,PARTIAL
llama_3_1_8b,Girls education,"Muralidharan, K., & Sundararaman, V. (2011). Teacher Effects and Teacher Incentives in Government Schools: Experimental Evidence from India. American Economic Review, 101(3), 172-177.",Teacher Effects and Teacher Incentives in Government Schools: Experimental Evidence from India,PARTIAL
llama_3_1_8b,Girls education,"Banerjee, A. V., & Duflo, E. (2009). The Experimental Approach to Development Economics. Annual Review of Economics, 1, 151-178.",The Experimental Approach to Development Economics,PARTIAL
llama_3_1_8b,Girls education,"Kremer, M., & Holla, A. (2008). Improving Education in the Developing World: What Have We Learned from Experiments in Developing Countries? Journal of Economic Perspectives, 22(1), 177-198.","Improving Education in the Developing World: What Have We Learned from Experiments in Developing Countries? Journal of Economic Perspectives, 22(1), 177-198",PARTIAL
llama_3_1_8b,Health,World Health Organization (2018). World Health Statistics 2018: Monitoring health for the SDGs. World Health Organization.,World Health Statistics 2018: Monitoring health for the SDGs,YES
llama_3_1_8b,Health,"Sallis, J. F., & Owen, N. (1999). Physical activity is good for health: How much and how is it so? The Lancet, 354(9183), 793-798.","Physical activity is good for health: How much and how is it so? The Lancet, 354(9183), 793-798",YES
llama_3_1_8b,Health,Centers for Disease Control and Prevention (2020). COVID-19 Pandemic Planning Scenarios. Centers for Disease Control and Prevention.,COVID-19 Pandemic Planning Scenarios,YES
llama_3_1_8b,Health,"Hales, D., & Patterson, E. (2008). An Introduction to the U.S. Health Care System. Jones & Bartlett Learning.",An Introduction to the U.S,NO
llama_3_1_8b,Health,World Health Organization (2019). Mental Health Action Plan 2013-2020. World Health Organization.,Mental Health Action Plan 2013-2020,PARTIAL
llama_3_1_8b,Health,Centers for Disease Control and Prevention (2020). COVID-19 Vaccination. Centers for Disease Control and Prevention.,COVID-19 Vaccination,PARTIAL
llama_3_1_8b,Health,"Lee, I. M., Shiroma, E. J., Kamada, M., Bassett, D. R., Matthews, C. E., & Buring, J. E. (2012). Association of Chewing Gum with Weight Loss: A Randomized Controlled Trial. Annals of Internal Medicine, 156(4), 261-269.",Association of Chewing Gum with Weight Loss: A Randomized Controlled Trial,PARTIAL
llama_3_1_8b,Health,World Health Organization (2019). Global Health Observatory (GHO) data. World Health Organization.,Global Health Observatory (GHO) data,YES
llama_3_1_8b,Health,Centers for Disease Control and Prevention (2020). COVID-19: How to Protect Yourself & Others. Centers for Disease Control and Prevention.,COVID-19: How to Protect Yourself & Others,YES
llama_3_1_8b,Health,"Marmot, M. G., & Wilkinson, R. G. (Eds.) (2006). Social Determinants of Health. Oxford University Press.",Social Determinants of Health,YES
llama_3_1_8b,Infectious disease,"Fauci, A. S. (2006). Emerging and re-emerging infectious diseases: The uneasy triumvirate of microbes, people, and animal. Emerging Infectious Diseases, 12(6), 915-916.","Emerging and re-emerging infectious diseases: The uneasy triumvirate of microbes, people, and animal",YES
llama_3_1_8b,Infectious disease,"Lipsitch, M., & Murray, M. (2004). Predictive models of infectious disease outbreaks and the anthrax risk assessment. Emerging Infectious Diseases, 10(1), 8-13.",Predictive models of infectious disease outbreaks and the anthrax risk assessment,YES
llama_3_1_8b,Infectious disease,"Anderson, R. M., & May, R. M. (1991). Infectious diseases of humans: Dynamics and control. Oxford University Press.",Infectious diseases of humans: Dynamics and control,YES
llama_3_1_8b,Infectious disease,"Breban, R., Vespignani, A., & Allard, A. (2007). From individual movement to global epidemic: Approaches and issues. Philosophical Transactions of the Royal Society B: Biological Sciences, 362(1482), 2037-2045.",From individual movement to global epidemic: Approaches and issues,YES
llama_3_1_8b,Infectious disease,"Lipsitch, M., Tchetgen, E. T., & Vukovic, T. (2009). Negligible impact of autoantibody on the clearance of influenza infection. Nature, 457(7228), 1140-1143.",Negligible impact of autoantibody on the clearance of influenza infection,YES
llama_3_1_8b,Infectious disease,"Ferguson, N. M., Cummings, D. A., & Fraser, C. (2006). Strategies for mitigating an influenza pandemic. Nature, 442(7101), 448-452.",Strategies for mitigating an influenza pandemic,YES
llama_3_1_8b,Infectious disease,"Lloyd-Smith, J. O., Getz, W. M., & Westcott, J. (2005). Superspreading and the effect of individual variation on disease emergence. Nature, 438(7066), 355-359.",Superspreading and the effect of individual variation on disease emergence,YES
llama_3_1_8b,Infectious disease,"Chowell, G., & Nishiura, H. (2008). Transmission dynamics and control of Ebola virus disease (EVD): A review. Journal of the Royal Society Interface, 5(23), 695-706.",Transmission dynamics and control of Ebola virus disease (EVD): A review,YES
